Company Name,Role,Base,CTC
Flexera,Software Engineer,,12.5
Bharat Electronics,"R&D, Production",,12.5
ACI Worldwide,,,12.5
IDeaS,,,12.4
Commonwealth Bank of Australia,Graduate Software Engineer,,12.3
Societe Generale,Software Engineer,10,12.21
Societe Generale,Cybersecurity Engineer,10,12.21
Tata Steel,Management Trainee Technical- Steel Operations,11.25,12.18
Tata Steel,Management Trainee,11.25,12.18
eLitmus,Software Developer,8,12.11
Maven Magnets,Frontend Engineer,12,12
Garaaz,Jr Computer Scientist,12,12
Anakin Skywalker Pvt Ltd,Software Engineer,12,12
Anakin Skywalker Pvt Ltd,Business Analyst,12,12
AMDOCS,SDE,12,12
Esyasoft Holding Limited,Graduate Trainee Engineer (Non-core),11.78,12
Cars24,Software Development Engineer,11.4,12
Hero FinCorp,Data Engineer – Graduate Trainee,11,12
McKinsey and Company,Jr. Capabilities and Insights Analytics Analyst,10.91,12
McKinsey,Software Development Engineer,10.91,12
Nation with Namo,Decision Scientist,10.2,12
WNS Analytics,Analyst,10,12
Onix,Associate Member of Technical Staff / Member of Te,10,12
Larkai Healthcare,Cybersecurity and Blockchain Developer,10,12
Jar App,Software Development Engineer - 1,10,12
Infibeam,Software Development Engineer,10,12
Fidelity Investments,Data Engineering ,10,12
Fidelity Investments,Software Engineering ,10,12
Epsilon,Software Engineer,10,12
BigEndian Semiconductors,ASIC Developer,10,12
ABB,Associate Software Engineer (Analytics),10,12
Baxter Healthcare,Software Engineer - 1 (Digital),9.9,12
Baxter Healthcare,Software Engineer - 1 (Embedded),9.9,12
Schneider Electric,Graduate Engineer Trainee,9,12
Deloitte USI Consulting,Analyst,9,12
Lummus Technology Heat Transfer BV,Process Engineer,8.5,12
TREDENCE,Multiple Profiles,8,12
Acies Consulting,Multiple Profiles,8,12
Qest,Software Engineer,7.2,12
OneCap,Software Development Engineer,6,12
Zensar Technologies,,,12
Tredence,Data Analyst,,12
Schneider Electric,,,12
Purple Block,Data Science ,,12
Platform9,,,12
Physics Wallah,Software Development Trainee,,12
Netcore,Associate Software Engineer,,12
NCR Atleos,,,12
MortgageKart,,,12
Logik,Software Development Engineer,,12
Krowmaerd Private Limited,Venture Associate,,12
iNube,Software Analyst,,12
Gnani,AI Engineer ,,12
General Mills,ECP Trainee,,12
Dell,,,12
ConSecure,Software Engineer - NextGen Intelligence,,12
COGNIZANT,Junior Engineer - Full Stack Developer,,12
Class24,Educator,,12
Cimpress,Software Engineer,,12
Candescent,Software Engineer,,12
Bizom ( Mobisy Technologies Pvt Ltd ),,,12
Aspect Ratio,,,12
Northern Trust,,,11.7
Fluence Energy.,Multiple Profiles,11.6,11.6
Mastercard,,,11.55
Toshiba Software,Associate Software Engineer,10,11.5
SCA Technologies,Associate Software Engineer and Software Engineer,9.2,11.5
Havells India Limited ,IoT and Software Roles,8,11.5
ISGEC,GET,7.97,11.5
Toshiba,,,11.5
eQ Technologic (QA),,,11.13
Thoughtworks,,,11.1
AccioJob,Data Engineer,,11.1
AccioJob,Infrastructure Engineer,,11.1
Chella Software,Software Engineer,11,11
Sonalika Tractor,Assistant Manager,10.51,11
Mphasis,Senior Software Engineer,10.45,11
Mphasis,Multiple Profiles,10.45,11
Labellerr,Multiple Profiles,9,11
Antier Solutions Pvt Ltd.,Associate Software Engineer,8.8,11
Infinity Learn,SDE Technology Role,8.5,11
Superleap,Technical Product Analyst,6,11
Siemens Regular,,,11
Siemens DISW,,,11
